description,category,severity,priority
"Câble électrique tombé au marché, couteau",electricite,critique,critique
"Vol signalé dans le quartier Kenya, à main armée",vol,critique,critique
Menaces avec violence derrière le stade,agression,eleve,critique
"Objet abandonné près du rond-point, mort",autre,moyen,moyenne
"Caniveau bouché au centre-ville, à main armée",infrastructure,eleve,haute
"Câble électrique tombé à Kamalondo, couteau",electricite,moyen,moyenne
"Câble électrique tombé dans le quartier Kenya, danger de mort",electricite,critique,critique
Maisons envahies par l'eau à Kamalondo,inondation,critique,critique
Débordement d'un caniveau sur l'avenue Kasaï,inondation,faible,basse
"Transformateur en panne dans une parcelle, couteau",electricite,eleve,haute
"Une personne se fait agresser au marché, mort",agression,faible,haute
Fumée épaisse et flammes au marché,incendie,critique,critique
Agression dans le quartier Kenya,agression,faible,moyenne
Route dégradée au centre-ville,infrastructure,faible,basse
"Collision entre deux véhicules sur l'avenue Kasaï, couteau",accident,critique,critique
"Problème non identifié près de l'école, couteau",autre,critique,critique
Vol signalé près de l'école,vol,eleve,haute
Moto renversée au marché,accident,moyen,moyenne
"Agression sur l'avenue Kasaï, blessé",agression,eleve,critique
Vol de moto à la station,vol,faible,basse
"Agression près du rond-point, explosion",agression,critique,critique
"Menaces avec violence près de l'école, sang",agression,critique,critique
"Vol de moto à la station, blessé",vol,eleve,critique
Moto renversée près de l'école,accident,moyen,moyenne
"Problème non identifié au centre-ville, enfant",autre,critique,critique
"Objet abandonné dans le quartier Kenya, blessé",autre,critique,critique
"Collision entre deux véhicules à la station, noyade",accident,eleve,critique
"Court-circuit ayant provoqué un incendie derrière le stade, couteau",incendie,eleve,critique
Collision entre deux véhicules près du rond-point,accident,faible,basse
"Pont abîmé dans le quartier Kenya, mort",infrastructure,eleve,haute
Moto renversée à l'arrêt de bus,accident,moyen,moyenne
Feu de brousse sur l'avenue Kasaï,incendie,moyen,haute
"Vol à l'arraché à la Ruashi, à main armée",vol,critique,critique
"Pont abîmé au centre-ville, mort",infrastructure,moyen,moyenne
"Véhicule accidenté près du rond-point, arme",accident,critique,critique
Route inondée au centre-ville,inondation,eleve,haute
Lampadaire cassé à la station,infrastructure,faible,basse
Panne de courant à l'arrêt de bus,electricite,moyen,basse
Vol de moto à l'arrêt de bus,vol,faible,basse
Collision entre deux véhicules à Kamalondo,accident,moyen,moyenne
"Effraction constatée près du rond-point, couteau",vol,critique,critique
Problème non identifié près du rond-point,autre,faible,basse
"Agression physique près du rond-point, au secours",agression,critique,critique
Fumée épaisse et flammes au centre-ville,incendie,eleve,critique
Poteau électrique endommagé dans une parcelle,electricite,faible,basse
"Fortes pluies provoquant une inondation dans le quartier Kenya, blessé",inondation,faible,moyenne
Vol de moto sur l'avenue Kasaï,vol,eleve,haute
Problème non identifié dans une parcelle,autre,moyen,basse
"Caniveau bouché près de l'école, noyade",infrastructure,moyen,moyenne
"Attaque signalée près de l'école, sang",agression,faible,haute
Collision entre deux véhicules près du rond-point,accident,eleve,haute
"Nuisance signalée à la Ruashi, feu",autre,critique,critique
"Un individu a volé un téléphone près de l'école, blessé",vol,eleve,critique
"Route dégradée derrière le stade, à main armée",infrastructure,moyen,moyenne
Collision entre deux véhicules près de l'école,accident,faible,basse
Poteau électrique endommagé près du rond-point,electricite,faible,basse
"Cambriolage d'une maison près du rond-point, noyade",vol,moyen,haute
"Accident de circulation sur l'avenue Kasaï, noyade",accident,eleve,critique
"Court-circuit ayant provoqué un incendie dans le quartier Kenya, explosion",incendie,critique,critique
Accident impliquant un piéton près du rond-point,accident,eleve,haute
Un individu a volé un téléphone au centre-ville,vol,faible,basse
Départ de feu près du rond-point,incendie,moyen,haute
"Transformateur en panne au centre-ville, sang",electricite,critique,critique
Incident divers derrière le stade,autre,moyen,basse
